"id","policyNumber","name","dob","dop","gender","smokingStatus","faceAmount"
1,1,"Herbie Bendix      ","1975-06-22","1999-10-01","male","Non-Smoker",20001
2,2,"Matthiew Duck      ","1954-05-02","2006-06-01","female","Smoker",340000
3,3,"Haze Kerfoot       ","1996-03-11","2012-01-01","male","Smoker",100000
4,4,"Daryn Rickis       ","1987-02-17","2016-09-01","male","Smoker",35000
5,5,"Agneta Maling      ","1992-04-09","2012-10-01","female","Non-Smoker",430000
6,6,"Zachery Pyecroft   ","1971-12-19","1991-09-01","female","Smoker",250000
7,7,"Harmonia Marran    ","1983-11-26","2007-08-01","male","Smoker",80000
8,8,"Olimpia Piola      ","1974-07-19","1995-06-01","male","Non-Smoker",125000
9,9,"Tate Bielfelt      ","1955-06-09","1980-06-01","male","Non-Smoker",345000
10,10,"Des Sweetenham     ","1953-04-08","1998-05-01","male","Smoker",120000
11,11,"Eduard Bulstrode   ","1997-07-15","2016-07-01","male","Smoker",205000
12,12,"Chuck Croisdall    ","1980-11-23","1997-09-01","male","Smoker",155000
13,13,"Bayard Shepard     ","1989-05-09","2006-01-01","male","Smoker",465000
14,14,"Kienan Saura       ","1973-10-23","2015-02-01","male","Non-Smoker",135000
15,15,"Valaria Hendrick   ","1970-10-18","1996-02-01","female","Smoker",45000
16,16,"Layne Madeley      ","1991-03-27","2015-10-01","male","Non-Smoker",425000
17,17,"Allistir Carratt   ","1958-11-22","1992-07-01","female","Smoker",175000
18,18,"Laughton Kehoe     ","1977-12-05","1993-11-01","female","Smoker",355000
19,19,"Dorotea Lownie     ","1985-03-10","2015-11-01","female","Smoker",405000
20,20,"Mayer Bengefield   ","1966-01-09","1998-10-01","male","Non-Smoker",125000
21,21,"Natasha Anfrey     ","1998-12-18","2015-08-01","male","Non-Smoker",40000
22,22,"Padriac Meaden     ","1999-04-20","2015-07-01","female","Non-Smoker",30000
23,23,"Selia Lowseley     ","1993-05-26","2009-06-01","female","Smoker",475000
24,24,"Dayna Skains       ","1975-08-03","2009-11-01","female","Non-Smoker",140000
25,25,"Xaviera Tineman    ","1986-01-02","2004-01-01","male","Smoker",440000
26,26,"Marylee Ortelt     ","1990-01-28","2012-05-01","male","Smoker",95000
27,27,"Irving Welbeck     ","1985-07-02","2015-08-01","male","Non-Smoker",135000
28,28,"Helga Thebeaud     ","1977-12-14","2001-08-01","male","Non-Smoker",415000
29,29,"Brina MacFadzan    ","1986-02-21","2016-05-01","female","Non-Smoker",320000
30,30,"Beaufort Catteroll ","1956-09-12","1997-01-01","female","Smoker",310000
31,31,"Wilone Hunting     ","1976-09-02","2000-08-01","male","Non-Smoker",70000
32,32,"Cosette Yateman    ","1972-10-10","1997-08-01","male","Smoker",150000
33,33,"Bradley MacQuarrie ","1982-01-27","2003-05-01","male","Smoker",55000
34,34,"Ashly Seal","1988-10-25","2004-05-01","male","Smoker",20000
